emp_no,first_name,last_name,title,salary,from_date
10676,Valeri,Danley,Engineer,58226,1999-09-04
10683,Guiseppe,Stranks,Senior Engineer,40000,1997-06-23
10693,Berhard,Daescu,Senior Staff,40000,1991-01-08
10696,Unal,Fendler,Technique Leader,68913,1991-09-09
10702,Bader,Szemeredi,Senior Engineer,46581,1991-01-14
10712,Uma,Koprowski,Senior Engineer,40000,2001-08-18
10718,Adib,Rullman,Senior Engineer,75473,1997-07-21
10726,Zita,Minakawa,Senior Engineer,46315,2001-02-24
10734,Sachar,Erdi,Engineer,47377,1995-12-19
10741,Sven,Huttel,Senior Staff,50265,1997-01-06
10742,Shim,Wiegley,Technique Leader,67405,1997-04-03
10745,Poorav,Ranze,Senior Engineer,40000,1997-01-22
10749,King,Brendel,Senior Engineer,60829,1990-09-26
10750,Roddy,Demeyer,Technique Leader,40000,1998-11-06
10764,Yunming,Beetstra,Senior Engineer,70720,1998-11-27
10767,Monique,Doering,Staff,40651,1997-07-15
10768,Ishfaq,Candan,Senior Engineer,65717,1990-07-04
10778,Selwyn,Merey,Senior Staff,64996,1986-07-04
10791,Tadahiko,Sgarro,Senior Engineer,40000,1995-07-31
10795,Supot,Naudin,Senior Staff,84206,1999-05-03
10808,Chenxi,Leijenhorst,Senior Engineer,40000,1987-03-07
10811,Ashish,Fortenbacher,Engineer,40000,1997-07-08
10813,Shalesh,Shumilov,Senior Staff,53246,1990-04-27
10814,Nidapan,Dymetman,Senior Staff,59378,1998-07-17
10826,Arnd,Anandan,Senior Engineer,59506,1993-01-22
10827,Willard,Danley,Staff,58322,1996-11-07
10830,Fen,Fiebach,Senior Staff,47420,1997-08-23
10831,Toong,Driscoll,Technique Leader,82330,1998-02-22
10833,Krisda,Gecseg,Technique Leader,40000,1998-12-23
10834,Huiqun,Rajcani,Engineer,53869,1999-11-24
10835,Tomoyuki,Kermarrec,Engineer,40000,1995-08-22
10836,Jianhua,Leivant,Senior Staff,65502,1987-08-10
10844,Dipayan,Koprowski,Engineer,40000,1997-04-25
10846,Tokuyasu,Serre,Senior Engineer,40000,1995-01-17
10847,Theirry,Danley,Senior Staff,40000,1992-07-24
10848,Fen,Bratsberg,Senior Engineer,50475,1992-04-20
10849,Makato,Mayerwieser,Engineer,66065,2001-06-24
10854,Jagoda,Nannarelli,Engineer,40000,1998-07-13
10858,Kenroku,Gonthier,Senior Engineer,47847,2002-01-01
10871,Aram,Gilg,Staff,40000,1999-06-16
10872,Karoline,Speel,Senior Staff,40000,1996-09-05
10873,Sukumar,Wegerle,Staff,65835,1994-03-23
10878,Lakshmi,Deville,Staff,72102,1997-04-25
10879,Muzhong,Chleq,Senior Engineer,65651,1985-08-15
10882,Fun,Heuser,Engineer,40000,1999-04-29
10883,Shimshon,Champarnaud,Engineer,40000,1996-12-28
10885,Rayond,Cronau,Senior Staff,78613,1991-08-19
10887,Lunjin,DeMori,Senior Engineer,69570,1989-03-17
10900,Ferdinand,Prenel,Senior Engineer,50054,1995-09-07
10906,Munehiro,Carrere,Staff,66204,1998-10-18
10909,Georgi,Atchley,Senior Engineer,80935,2000-12-26
10913,Narain,Thummel,Staff,62428,1998-10-25
10920,Ronghao,Narahara,Senior Staff,40000,1998-02-23
10921,Mara,Bahi,Senior Engineer,72601,1995-07-27
10924,Hironoby,Atchley,Senior Staff,84783,1997-08-14
10926,Leni,Eppinger,Senior Engineer,43219,1995-04-30
10927,Gal,Scallan,Senior Staff,51819,1993-09-12
10930,Arch,Minakawa,Senior Engineer,53785,1998-11-22
10932,Avishai,Picci,Senior Engineer,40000,1999-09-09
10936,Mountaz,Schicker,Senior Staff,40000,1996-05-08
10942,Toshimitsu,Larfeldt,Engineer,40000,1996-01-21
10943,Berna,Skafidas,Senior Engineer,45890,1999-05-22
10944,Remko,Zyda,Senior Engineer,42872,1995-09-07
10947,Gor,Usery,Senior Staff,43068,2001-11-15
10949,Shigeichiro,Wroclawski,Senior Staff,58253,1996-06-28
10956,Arno,Picel,Engineer,40000,1995-12-02
10965,Eckart,Braunschweig,Senior Staff,61654,1986-07-29
10969,Premal,Noriega,Senior Engineer,40000,1994-05-12
10974,Muneo,Papsdorf,Senior Engineer,56005,1999-05-17
10986,Masako,Schiper,Technique Leader,43900,1985-10-11
10987,Flemming,Baezner,Engineer,46108,1997-05-21
10988,Chinya,Deyuan,Senior Engineer,54174,1985-06-19
10989,Sumali,Candan,Senior Staff,46406,1991-07-20
10990,Shin,Foote,Technique Leader,40000,1990-08-06
10996,Matk,Rahimi,Senior Staff,43564,1996-02-07
11004,JoAnna,Decleir,Senior Engineer,40226,1998-01-18
11009,Alper,Axelband,Senior Staff,75111,1993-09-09
11012,Taegyun,Speckmann,Staff,72092,1996-07-06
11019,Leon,Huttel,Senior Engineer,69387,1997-05-24
11021,Srinidhi,Henders,Staff,62670,1998-02-02
11027,Remzi,Cappello,Senior Engineer,40000,1996-05-06
11031,Ottavia,Walstra,Senior Staff,71654,1993-10-24
11032,Erez,Schaaf,Staff,40000,1994-06-06
11037,Lansing,Maliniak,Senior Engineer,40000,1995-01-28
11038,Jinya,Beidas,Senior Staff,44993,1992-07-15
11042,Gou,Breugel,Senior Engineer,40000,2000-06-21
11048,Jaques,Demke,Senior Staff,65697,1999-05-27
11050,Elvis,Katiyar,Senior Staff,52251,1991-05-06
11051,Przemyslawa,Erol,Senior Engineer,40000,2000-03-26
11056,Palash,Speel,Staff,79354,1997-07-01
11061,Pintsang,Erni,Senior Staff,81257,2002-02-19
11064,Shawna,Vieri,Senior Engineer,48411,2002-02-27
11066,Shaz,Langford,Senior Staff,53496,1996-04-30
11070,Adib,Raney,Senior Engineer,40000,1991-07-24
11071,Kwan,Sigstam,Senior Engineer,40000,2001-05-23
11075,Karsten,Belinskaya,Senior Engineer,76877,1998-05-06
11079,Piyush,Garigliano,Senior Engineer,46239,2001-05-26
11081,Barry,Boyle,Senior Staff,65686,1994-06-17
11083,Shimshon,Ducloy,Senior Staff,90972,2000-10-04
11084,Greger,Senzako,Senior Engineer,52121,1999-05-31
11085,Hailing,Thummel,Senior Engineer,66437,1996-02-10
11087,Changho,Jayawardene,Senior Engineer,78081,1998-03-18
11089,Conal,Henders,Senior Staff,41004,1994-08-13
11091,Souichi,Ramsay,Engineer,76253,1999-09-11
11092,Narain,Stamatiou,Staff,78588,1999-04-05
11098,Arnd,Covnot,Engineer,40000,1997-01-08
11100,Berna,Cochrane,Senior Staff,40000,1993-10-13
11106,Aris,Iwayama,Senior Engineer,71446,1997-08-30
11111,Udi,Zastre,Assistant Engineer,49777,1994-12-25
11112,Boaz,Mukaidono,Staff,40000,1995-04-28
11113,Shahab,Peng,Senior Staff,66401,1991-11-30
11121,Vugranam,Kakkad,Senior Engineer,40000,1999-11-01
11130,Xinyu,Menhoudj,Senior Staff,43172,1997-02-17
11132,Kristin,Harnett,Senior Engineer,40000,1999-08-30
11133,Nalini,Azulay,Technique Leader,40000,1994-03-06
11134,Sachar,Rajcani,Senior Engineer,58731,2002-05-19
11137,Hugh,Luca,Engineer,40000,1995-03-16
11139,Bogdan,Homond,Senior Staff,63596,1995-05-11
11143,Yongdong,Rosen,Engineer,63264,1996-05-09
11144,Carrsten,Heinisuo,Senior Staff,56144,2002-07-19
11146,Ishfaq,Masand,Senior Staff,96019,1997-08-21
11147,Ayonca,Nitsch,Engineer,40000,1997-12-04
11148,Zhanqiu,Botman,Senior Staff,56344,1997-02-08
11158,Masaki,Hagimont,Senior Engineer,40000,2002-04-20
11162,Kauko,Narlikar,Senior Engineer,69873,1990-03-28
11168,Shmuel,Tetzlaff,Senior Staff,72944,2001-07-15
11170,Minghong,Cannard,Senior Engineer,44531,1990-06-20
11174,Akhilish,Milicia,Engineer,45806,1999-06-07
11177,Chrisa,dAstous,Senior Engineer,40000,1999-09-11
11180,Mitsuyuki,Bojadziev,Senior Engineer,40000,1992-06-10
11181,Hausi,Cullers,Engineer,40000,1997-11-03
11185,Aloys,Baezner,Senior Staff,40000,2000-01-26
11186,Kshitij,Stasinski,Senior Engineer,40000,2000-12-09
11189,Dante,Bodoff,Senior Staff,71798,1991-09-07
11192,Apostol,Bahr,Engineer,40000,1998-04-07
11197,Tadahiro,Fordan,Senior Staff,88741,1989-09-12
11201,Jouko,Masaki,Staff,49454,1995-10-31
11204,Diederik,Covnot,Technique Leader,40000,1985-09-18
11207,Saeed,Gips,Engineer,49728,1999-01-31
11208,Saniya,Valtorta,Technique Leader,83660,1994-11-17
11211,Yurij,Rissland,Senior Engineer,72668,1985-09-17
11213,Vugranam,Munoz,Technique Leader,40000,1999-02-04
11217,Kellie,Mawatari,Senior Engineer,40000,1990-03-11
11229,Gretta,Ramamoorthy,Senior Engineer,48214,2000-07-25
11232,Hidefumi,Crelier,Senior Staff,43863,2000-08-01
11233,Sanjit,Waschkowski,Senior Engineer,46070,1998-12-14
11240,Kiam,Condotta,Engineer,61739,1997-01-06
11243,Udi,Desikan,Assistant Engineer,47598,2000-01-20
11249,Randi,Cyre,Engineer,43324,1994-09-22
11251,Bezalel,Chinal,Senior Staff,69432,1993-06-15
11253,Koldo,Pokrovskii,Senior Engineer,40000,2000-05-22
11254,Danel,Rindone,Staff,50562,1998-12-19
11258,Aris,Maccarone,Senior Staff,40000,1998-03-28
11266,Florina,Rohrbach,Senior Engineer,40000,2002-05-12
11267,Shaunak,Zaumen,Senior Engineer,65990,1996-04-09
11268,Aimee,Petersohn,Senior Engineer,40000,1995-10-25
11274,Masanao,Nicolson,Staff,40000,1999-12-13
11275,Hitomi,Eppinger,Senior Engineer,58382,1998-04-25
11289,Chuanti,Cherinka,Senior Engineer,40000,1996-02-23
11290,Visit,Dredge,Engineer,65034,1999-05-13
11292,Souichi,Sichman,Senior Engineer,40000,1996-02-12
11294,Tru,Segond,Senior Engineer,43768,1999-06-13
11295,Abdelkader,Lanzelotte,Senior Staff,66622,1990-05-15
11296,Hironobu,Kenevan,Senior Engineer,40000,1994-09-26
11301,Mingzeng,Oxenboll,Senior Staff,40000,1996-05-23
11317,Shigeaki,Hagimont,Senior Staff,40000,2000-09-07
11319,Pranas,Marrakchi,Assistant Engineer,40000,1998-11-01
11320,Atilio,McAlpine,Senior Staff,45118,1998-04-06
11322,Nathalie,Pocchiola,Senior Engineer,43021,1999-07-08
11324,Kauko,Billingsley,Senior Engineer,54288,1985-08-29
11325,Samphel,Rossi,Engineer,62458,1999-01-10
11326,Munenori,Plesums,Senior Engineer,40000,1999-02-19
11338,Kwangsub,Hanratty,Senior Staff,82210,1998-10-28
11339,Flemming,Massonet,Senior Engineer,40000,1989-12-19
11340,Aris,Bala,Senior Engineer,48813,1998-09-11
11343,Susanne,Erez,Senior Engineer,43306,1995-02-27
11347,Anneli,Jonsson,Senior Engineer,41524,1992-04-19
11349,Yurii,Hammerschmidt,Engineer,46356,1999-06-28
11360,Fen,Schach,Senior Staff,63466,1997-01-12
11365,Toshimi,Shinomoto,Engineer,56463,1997-12-18
11373,Yongmao,Keohane,Senior Staff,45912,2000-07-18
11376,Valery,Suomi,Senior Staff,46964,1994-03-14
11380,Kenroku,Pelc,Senior Engineer,53345,2001-04-18
11385,Shiv,Ullian,Engineer,40000,1999-08-08
11386,Alselm,Assaf,Senior Engineer,47726,1993-11-29
11393,Junsik,Junot,Senior Engineer,40000,1992-04-30
11396,Anneke,Servieres,Engineer,48918,1997-02-04
11398,Oscar,Peir,Senior Staff,44625,2001-09-07
11401,Huan,Merey,Staff,52021,1995-04-15
11404,Bedrich,Borovoy,Technique Leader,42907,1990-09-25
11406,Eberhardt,Gini,Senior Staff,71834,1996-03-13
11410,Gro,Vendrig,Engineer,45665,1999-10-25
11415,Sanjiv,Anido,Engineer,40000,1996-12-07
11417,Anneli,Cyne,Technique Leader,74114,1992-12-21
11418,Satosi,Cooley,Senior Staff,40000,1991-12-30
11420,Tsutomu,Lalonde,Senior Staff,40000,1992-01-31
11421,Josyula,Msuda,Senior Engineer,52416,1995-09-02
11423,Guangming,Kopetz,Staff,43947,1998-10-13
11425,Renee,Crelier,Senior Engineer,40000,1990-08-27
11441,Marlo,Aingworth,Senior Staff,67352,1987-03-27
11446,Naftali,Narahara,Senior Engineer,40000,1999-04-06
11449,Kotesh,Asser,Senior Engineer,61434,2000-02-03
11451,Eben,Rajaraman,Senior Engineer,61848,1990-05-20
11452,Shigehito,Luby,Senior Staff,52083,2001-08-26
11459,Duke,Suomi,Senior Staff,40000,1992-05-02
11460,Mana,Maraist,Senior Engineer,45712,2001-05-28
11469,Guttorm,Giaccio,Senior Engineer,44625,1999-09-08
11474,Gennady,Akazan,Engineer,59016,1993-12-29
11476,Manton,Yoshizawa,Staff,56449,1994-01-15
11479,Shridhar,Pleszkun,Staff,78157,1999-02-10
11503,Nathan,Picht,Senior Engineer,56928,2002-04-09
11506,Rance,Picel,Staff,89747,1996-04-08
11509,Aleksander,Feldhoffer,Senior Engineer,40000,1992-11-11
11513,Otmar,Mahnke,Senior Staff,82525,1998-08-25
11515,Ulf,Basawa,Staff,70182,1998-09-21
11518,Jinxi,Oxman,Senior Staff,40000,1999-09-22
11519,Halsur,Chinen,Senior Staff,61444,1997-06-12
11523,Yuguang,Pezzoli,Engineer,64203,1998-12-23
11524,Xiadong,Standera,Senior Engineer,41081,1996-07-05
11527,Alagu,Boyle,Staff,60212,1999-01-28
11528,Zito,Dolinsky,Technique Leader,44026,1987-06-15
11531,Radhika,Motley,Technique Leader,53370,1992-11-04
11533,Vitaly,Lorch,Technique Leader,40000,1991-08-20
11537,DAIDA,Pehl,Senior Staff,96023,1986-07-06
11540,Chanjung,Portugali,Senior Engineer,70043,2002-07-02
11554,Subhash,Taubenfeld,Staff,46065,1998-07-15
11555,Kotesh,Perfilyeva,Senior Staff,40000,1991-10-14
11567,Teiji,Mitzlaff,Senior Staff,86261,1996-02-03
11568,Martins,Fujisaki,Senior Engineer,54673,2000-03-13
11573,Pranas,Hutton,Senior Engineer,46194,1995-02-04
11575,Godehard,Plotkin,Engineer,50896,2000-05-31
11577,Mayumi,Deyuan,Senior Engineer,40000,1998-09-23
11581,Patricio,Rosenbaum,Senior Engineer,46950,2001-11-13
11587,Shem,Zambonelli,Senior Engineer,40000,1989-04-24
11589,Gina,Plessier,Senior Engineer,58444,2001-05-06
11595,Takanari,Kamber,Senior Staff,68224,1992-09-08
11596,Yannik,Gunderson,Staff,54076,1995-11-23
11602,Somnath,Malabarba,Senior Staff,58575,2001-06-21
11603,Herb,Swen,Senior Staff,69180,1994-04-13
11606,Perry,Pepe,Senior Staff,40000,1999-09-27
11607,Tomokazu,Foong,Engineer,49584,1995-04-19
11615,Shem,Isaak,Senior Staff,46591,2000-08-28
11616,Zhilian,Brendel,Engineer,41900,1998-12-30
11624,Adil,Gammage,Senior Engineer,42001,1996-07-15
11628,Fan,Malinowski,Senior Engineer,43966,1997-10-23
11640,Valeri,Coorg,Senior Engineer,52520,1988-09-26
11641,Chikako,Rothenberg,Senior Engineer,53327,1991-06-18
11644,Sanjit,Zaiane,Assistant Engineer,80722,1995-08-09
11646,Lobel,Rubsam,Engineer,55411,1999-12-15
11647,Magy,Nitsche,Senior Engineer,40000,1993-05-11
11649,Shen,Bernardinello,Technique Leader,40000,1992-12-11
11660,Gill,Stenning,Senior Staff,65758,1994-11-22
11664,Oksana,Brizzi,Senior Staff,70380,1990-09-07
11667,Kristian,Marchegay,Senior Staff,79814,1996-09-07
11673,Henk,Felder,Technique Leader,40000,1989-06-10
11676,Valeri,Ferriere,Engineer,43310,1998-07-15
11681,Fumitake,Benzmuller,Senior Engineer,40000,1995-08-28
11684,Oksana,Gide,Senior Staff,68753,1995-02-21
11690,Domenick,Raczkowsky,Staff,44420,1997-09-23
11693,Hideo,Coorg,Senior Engineer,70403,1991-08-24
11696,Dante,Rothe,Senior Staff,51633,1994-10-23
11713,Danel,Heusch,Senior Engineer,53387,2000-10-03
11732,Sanjoy,Ranft,Senior Engineer,40000,1996-12-22
11733,Leszek,Sudbeck,Senior Engineer,46092,2001-01-11
11735,Amalendu,Picci,Senior Staff,40000,1997-07-14
11736,Shugo,Uchoa,Senior Engineer,44127,1994-03-07
11737,Martina,Garnier,Assistant Engineer,48832,1995-07-11
11746,Koichi,Marrakchi,Senior Staff,55951,1995-11-18
11748,Lihong,Massonet,Engineer,54491,1996-07-24
11751,Jiafu,Emiris,Senior Staff,40000,1993-11-03
11756,Abdelwaheb,Vakili,Engineer,59493,1999-11-26
11763,Yuriy,Liesche,Engineer,40000,1997-04-18
11764,Sanjay,Anick,Senior Engineer,64875,1996-12-15
11765,Zorica,Junet,Senior Staff,40000,2000-07-03
11769,Chandrasekaran,Lampe,Senior Staff,40000,2001-10-22
11770,Arumugam,Jakobus,Senior Engineer,40000,2000-11-29
11772,Gaurav,Penz,Engineer,61295,1999-11-07
11774,Aron,Wroclawski,Engineer,40000,1998-11-26
11778,Dhritiman,Fontan,Senior Engineer,40000,1997-12-28
11779,Shunichi,Thombley,Staff,40000,1996-11-21
11791,Gal,Mamelak,Senior Engineer,40000,1994-11-15
11797,Chenxi,Thambidurai,Senior Staff,88050,1996-08-30
11801,Tommaso,Dayang,Senior Staff,67265,1997-06-12
11807,Chriss,Binding,Technique Leader,40000,1992-07-11
11810,Amabile,Bhattacharjee,Senior Engineer,41256,1992-01-05
11811,Herb,Boissier,Senior Staff,52695,1998-03-28
11817,Niranjan,Markovitch,Senior Staff,50638,1993-04-12
11822,Sastry,Madeira,Staff,67396,1996-07-07
11823,Weiyi,Iacovou,Senior Engineer,72637,1995-10-23
11829,Chaosheng,Pettis,Assistant Engineer,40000,1999-10-11
11832,Arto,Zlotek,Engineer,40000,1996-02-04
11836,Ortrud,Bakhtari,Senior Staff,40000,1989-07-28
11841,Elvia,Bugrara,Staff,90296,1996-04-02
11842,Moto,Piazza,Senior Staff,40000,1999-12-11
11844,Shawna,Demeyer,Senior Engineer,78049,1995-01-27
11846,Fai,Perly,Senior Engineer,53448,1999-06-22
11853,Zeljko,Kusakabe,Senior Staff,61941,1996-11-17
11857,Divier,Farrag,Senior Staff,94805,1986-08-27
11862,Alejandra,Deville,Senior Engineer,46011,1998-01-20
11864,Pradeep,Kriebel,Staff,52517,1995-11-02
11868,Kwee,Demke,Engineer,48349,1995-04-03
11869,Fumino,Luca,Engineer,62968,1996-08-12
11871,Nalini,Sommen,Senior Engineer,67424,1998-10-13
11872,Cheong,Riexinger,Senior Staff,43159,2002-02-12
11876,Leszek,Kobuchi,Senior Engineer,45372,2000-06-07
11881,Arra,Staelin,Senior Staff,76541,1995-04-08
11888,Badri,Azulay,Senior Staff,53720,1999-11-28
11894,Mitchel,Validov,Senior Engineer,56198,1988-06-22
11896,Shaunak,Benzmuller,Technique Leader,40000,1990-07-04
11897,Cordelia,Setlzner,Senior Staff,80049,1997-06-16
